tile_id,tile_path,plate_id,rows_in_tile_filtered_csv,rows_emitted_to_S0,skipped_delta,notes
tile_RA100.434_DECp36.871,data/tiles/tile_RA100.434_DECp36.871,XE254,0,0,0,missing survivors csv
tile_RA100.434_DECp37.871,data/tiles/tile_RA100.434_DECp37.871,XE254,0,0,0,missing survivors csv
tile_RA100.805_DECp22.879,data/tiles/tile_RA100.805_DECp22.879,XE363,0,0,0,missing survivors csv
tile_RA100.805_DECp23.879,data/tiles/tile_RA100.805_DECp23.879,XE363,0,0,0,missing survivors csv
tile_RA100.805_DECp24.879,data/tiles/tile_RA100.805_DECp24.879,XE363,1,1,0,
tile_RA100.970_DECp28.878,data/tiles/tile_RA100.970_DECp28.878,XE307,0,0,0,missing survivors csv
tile_RA100.970_DECp29.878,data/tiles/tile_RA100.970_DECp29.878,XE307,0,0,0,missing survivors csv
tile_RA100.970_DECp30.878,data/tiles/tile_RA100.970_DECp30.878,XE307,0,0,0,missing survivors csv
tile_RA101.354_DECp53.909,data/tiles/tile_RA101.354_DECp53.909,XE121,2,2,0,
tile_RA101.417_DECp40.877,data/tiles/tile_RA101.417_DECp40.877,XE205,0,0,0,missing survivors csv
tile_RA101.417_DECp41.877,data/tiles/tile_RA101.417_DECp41.877,XE205,1,1,0,
tile_RA101.417_DECp42.877,data/tiles/tile_RA101.417_DECp42.877,XE205,0,0,0,missing survivors csv
tile_RA101.668_DECp34.871,data/tiles/tile_RA101.668_DECp34.871,XE254,2,2,0,
tile_RA101.668_DECp35.871,data/tiles/tile_RA101.668_DECp35.871,XE254,1,1,0,
tile_RA101.668_DECp36.871,data/tiles/tile_RA101.668_DECp36.871,XE254,0,0,0,missing survivors csv
tile_RA101.748_DECp47.813,data/tiles/tile_RA101.748_DECp47.813,XE161,2,2,0,
tile_RA101.761_DECm6.180,data/tiles/tile_RA101.761_DECm6.180,XE661,1,1,0,
tile_RA101.856_DECm0.181,data/tiles/tile_RA101.856_DECm0.181,XE601,1,1,0,
tile_RA101.898_DECp23.879,data/tiles/tile_RA101.898_DECp23.879,XE363,0,0,0,missing survivors csv
tile_RA101.979_DECp11.818,data/tiles/tile_RA101.979_DECp11.818,XE481,0,0,0,missing survivors csv
tile_RA102.010_DECp17.818,data/tiles/tile_RA102.010_DECp17.818,XE421,2,2,0,
tile_RA102.123_DECp29.878,data/tiles/tile_RA102.123_DECp29.878,XE307,1,1,0,
tile_RA102.227_DECp57.851,data/tiles/tile_RA102.227_DECp57.851,XE087,2,2,0,
tile_RA102.227_DECp58.851,data/tiles/tile_RA102.227_DECp58.851,XE087,2,2,0,
tile_RA102.227_DECp59.851,data/tiles/tile_RA102.227_DECp59.851,XE087,2,2,0,
tile_RA102.227_DECp60.851,data/tiles/tile_RA102.227_DECp60.851,XE087,3,3,0,
tile_RA102.227_DECp61.851,data/tiles/tile_RA102.227_DECp61.851,XE087,2,2,0,
tile_RA102.414_DECp76.932,data/tiles/tile_RA102.414_DECp76.932,XE016,1,1,0,
tile_RA102.414_DECp77.932,data/tiles/tile_RA102.414_DECp77.932,XE016,2,2,0,
tile_RA102.414_DECp78.932,data/tiles/tile_RA102.414_DECp78.932,XE016,0,0,0,missing survivors csv
tile_RA102.414_DECp79.932,data/tiles/tile_RA102.414_DECp79.932,XE016,2,2,0,
tile_RA102.717_DECp65.780,data/tiles/tile_RA102.717_DECp65.780,XE058,1,1,0,
tile_RA102.760_DECp41.877,data/tiles/tile_RA102.760_DECp41.877,XE205,1,1,0,
tile_RA102.767_DECm5.180,data/tiles/tile_RA102.767_DECm5.180,XE661,1,1,0,
tile_RA102.767_DECm6.180,data/tiles/tile_RA102.767_DECm6.180,XE661,1,1,0,
tile_RA102.767_DECm7.180,data/tiles/tile_RA102.767_DECm7.180,XE661,1,1,0,
tile_RA102.856_DECm0.181,data/tiles/tile_RA102.856_DECm0.181,XE601,0,0,0,missing survivors csv
tile_RA102.856_DECm1.181,data/tiles/tile_RA102.856_DECm1.181,XE601,0,0,0,
tile_RA102.856_DECp0.819,data/tiles/tile_RA102.856_DECp0.819,XE601,0,0,0,missing survivors csv
tile_RA102.902_DECp35.871,data/tiles/tile_RA102.902_DECp35.871,XE254,2,2,0,
tile_RA102.972_DECp83.636,data/tiles/tile_RA102.972_DECp83.636,XE005,2,2,0,
tile_RA102.972_DECp84.636,data/tiles/tile_RA102.972_DECp84.636,XE005,1,1,0,
tile_RA103.001_DECp10.818,data/tiles/tile_RA103.001_DECp10.818,XE481,0,0,0,missing survivors csv
tile_RA103.001_DECp11.818,data/tiles/tile_RA103.001_DECp11.818,XE481,0,0,0,missing survivors csv
tile_RA103.001_DECp12.818,data/tiles/tile_RA103.001_DECp12.818,XE481,0,0,0,missing survivors csv
tile_RA103.050_DECp70.803,data/tiles/tile_RA103.050_DECp70.803,XE034,0,0,0,missing survivors csv
tile_RA103.050_DECp71.803,data/tiles/tile_RA103.050_DECp71.803,XE034,1,1,0,
tile_RA103.050_DECp72.803,data/tiles/tile_RA103.050_DECp72.803,XE034,2,2,0,
tile_RA103.061_DECp16.818,data/tiles/tile_RA103.061_DECp16.818,XE421,1,1,0,
tile_RA103.061_DECp17.818,data/tiles/tile_RA103.061_DECp17.818,XE421,3,3,0,
tile_RA103.061_DECp18.818,data/tiles/tile_RA103.061_DECp18.818,XE421,0,0,0,missing survivors csv
tile_RA103.237_DECp46.813,data/tiles/tile_RA103.237_DECp46.813,XE161,0,0,0,missing survivors csv
tile_RA103.237_DECp47.813,data/tiles/tile_RA103.237_DECp47.813,XE161,1,1,0,
tile_RA103.237_DECp48.813,data/tiles/tile_RA103.237_DECp48.813,XE161,2,2,0,
tile_RA103.773_DECm4.180,data/tiles/tile_RA103.773_DECm4.180,XE661,0,0,0,missing survivors csv
tile_RA103.773_DECm5.180,data/tiles/tile_RA103.773_DECm5.180,XE661,2,2,0,
tile_RA103.773_DECm6.180,data/tiles/tile_RA103.773_DECm6.180,XE661,1,1,0,
tile_RA103.773_DECm7.180,data/tiles/tile_RA103.773_DECm7.180,XE661,1,1,0,
tile_RA103.773_DECm8.180,data/tiles/tile_RA103.773_DECm8.180,XE661,1,1,0,
tile_RA103.856_DECm0.181,data/tiles/tile_RA103.856_DECm0.181,XE601,1,1,0,
tile_RA103.856_DECm1.181,data/tiles/tile_RA103.856_DECm1.181,XE601,0,0,0,missing survivors csv
tile_RA103.856_DECm2.181,data/tiles/tile_RA103.856_DECm2.181,XE601,1,1,0,
tile_RA103.856_DECp0.819,data/tiles/tile_RA103.856_DECp0.819,XE601,2,2,0,
tile_RA103.856_DECp1.819,data/tiles/tile_RA103.856_DECp1.819,XE601,1,1,0,
tile_RA104.000_DECp29.789,data/tiles/tile_RA104.000_DECp29.789,XE308,1,1,0,
tile_RA104.016_DECp23.790,data/tiles/tile_RA104.016_DECp23.790,XE364,0,0,0,missing survivors csv
tile_RA104.023_DECp10.818,data/tiles/tile_RA104.023_DECp10.818,XE481,0,0,0,missing survivors csv
tile_RA104.023_DECp11.818,data/tiles/tile_RA104.023_DECp11.818,XE481,1,1,0,
tile_RA104.023_DECp12.818,data/tiles/tile_RA104.023_DECp12.818,XE481,0,0,0,missing survivors csv
tile_RA104.023_DECp13.818,data/tiles/tile_RA104.023_DECp13.818,XE481,0,0,0,missing survivors csv
tile_RA104.023_DECp9.818,data/tiles/tile_RA104.023_DECp9.818,XE481,1,1,0,
tile_RA104.036_DECp53.778,data/tiles/tile_RA104.036_DECp53.778,XE122,0,0,0,missing survivors csv
tile_RA104.111_DECp15.818,data/tiles/tile_RA104.111_DECp15.818,XE421,0,0,0,missing survivors csv
tile_RA104.111_DECp16.818,data/tiles/tile_RA104.111_DECp16.818,XE421,1,1,0,
tile_RA104.111_DECp17.818,data/tiles/tile_RA104.111_DECp17.818,XE421,0,0,0,missing survivors csv
tile_RA104.111_DECp18.818,data/tiles/tile_RA104.111_DECp18.818,XE421,0,0,0,missing survivors csv
tile_RA104.111_DECp19.818,data/tiles/tile_RA104.111_DECp19.818,XE421,0,0,0,missing survivors csv
tile_RA104.115_DECp84.144,data/tiles/tile_RA104.115_DECp84.144,XE004,0,0,0,missing survivors csv
tile_RA104.115_DECp85.144,data/tiles/tile_RA104.115_DECp85.144,XE004,5,5,0,
