src_id,ra,dec
tile_RA198.914_DECp34.227:910,198.7340468168,34.4255434416
tile_RA198.914_DECp34.227:1001,198.4532167999,34.3346490638
tile_RA198.914_DECp35.227:656,198.7416380876,35.1619459879
tile_RA198.914_DECp35.227:952,198.3663213012,35.3636908547
tile_RA198.914_DECp35.227:963,199.1347962907,35.3450192481
tile_RA198.914_DECp35.227:967,199.0734298749,35.3419042555
tile_RA198.914_DECp36.227:89,199.18404614,35.8051634171
tile_RA198.914_DECp36.227:183,198.671966236,35.8829826756
tile_RA198.914_DECp36.227:391,198.6820952081,36.0601874261
tile_RA198.914_DECp36.227:1153,198.9650379986,36.2693545901
tile_RA198.914_DECp36.227:1179,198.6142163661,36.240600998
tile_RA198.937_DECp23.224:425,199.3662837778,23.0734563055
tile_RA198.937_DECp23.224:1126,199.0743316293,23.2699705901
tile_RA199.023_DECp29.223:40,199.1003058421,28.7398580136
tile_RA199.023_DECp29.223:1097,199.0115188723,29.1560265459
tile_RA199.023_DECp29.223:1394,198.4670692301,29.3051336106
tile_RA199.307_DECp52.243:134,199.194484194,51.8051937217
tile_RA199.307_DECp52.243:1557,199.0861340789,52.44507987
tile_RA199.307_DECp52.243:1636,199.9017821109,52.4223130037
tile_RA199.307_DECp53.243:421,199.3505316057,52.9455357492
tile_RA199.307_DECp53.243:943,199.7243289939,53.6721555484
tile_RA199.307_DECp53.243:1340,199.652507163,53.5296089427
tile_RA199.307_DECp53.243:1746,199.9462376733,53.3272486339
tile_RA199.307_DECp53.243:1778,198.5600021235,53.2901367498
tile_RA199.307_DECp54.243:1233,199.4844157108,54.5812262019
tile_RA199.320_DECp41.223:511,199.9344337554,41.0887175236
tile_RA199.415_DECp57.235:1202,199.9753716022,57.4096749436
tile_RA199.415_DECp57.235:1544,198.8595726277,57.5403798493
tile_RA199.415_DECp58.235:715,199.6833954381,58.0609288299
tile_RA199.415_DECp58.235:1432,199.0746311622,58.5476458601
tile_RA199.415_DECp59.235:472,199.239518675,58.9512241141
tile_RA199.415_DECp59.235:623,199.9562304331,59.0156156213
tile_RA199.415_DECp59.235:1227,199.9308357287,59.1615087691
tile_RA199.415_DECp59.235:1796,200.3477092066,59.3360044297
tile_RA199.415_DECp60.235:99,199.4493650721,59.7763791548
tile_RA199.415_DECp60.235:285,199.1814326507,59.8487510535
tile_RA199.415_DECp60.235:1398,200.1535713958,60.5744048254
tile_RA199.415_DECp60.235:2188,198.5441931553,60.2592793041
tile_RA199.415_DECp60.235:2250,198.5854951338,60.2367758599
tile_RA199.774_DECp15.236:482,199.6439447062,15.1057875222
tile_RA199.774_DECp15.236:1405,200.0829747706,15.2127806215
tile_RA199.774_DECp16.236:1062,199.5694662133,16.319956272
tile_RA199.774_DECp18.236:828,199.5166928772,18.543807929
tile_RA199.774_DECp18.236:1153,199.5667832228,18.1820632469
tile_RA199.774_DECp19.236:195,199.5101947352,18.8821931527
tile_RA199.774_DECp19.236:828,199.9306950568,19.6001387987
tile_RA199.774_DECp19.236:1047,199.7815174426,19.439145899
tile_RA199.774_DECp19.236:1286,199.3828266309,19.2621480353
tile_RA199.803_DECp10.236:27,199.7075948873,9.7541587641
tile_RA199.803_DECp11.236:1537,199.4795320528,11.3774249
tile_RA199.803_DECp12.236:746,199.8230095503,12.6842033561
tile_RA199.803_DECp13.236:1319,199.9757778741,13.3862057559
tile_RA199.803_DECp9.236:511,199.9469543337,9.0275415765
tile_RA199.803_DECp9.236:1591,199.5113614062,9.2686056676
tile_RA199.831_DECp3.236:821,199.8059626055,3.6733062968
tile_RA199.831_DECp4.236:1075,199.8387622521,4.1414986734
tile_RA199.831_DECp4.236:1338,199.8416363211,4.4759234764
tile_RA199.831_DECp4.236:1441,199.9395580951,4.1921377347
tile_RA199.831_DECp5.236:422,199.6811152482,4.9855622046
tile_RA199.831_DECp5.236:973,200.2375185022,5.1634274807
tile_RA199.831_DECp5.236:1428,199.5065588536,5.3718955799
tile_RA199.831_DECp5.236:1503,200.0984136528,5.3227798206
tile_RA199.831_DECp6.236:637,199.5665150408,6.1265792484
tile_RA199.831_DECp6.236:1356,200.1392016203,6.3953796717
