src_id,ra,dec,tile_id,object_id,fwhm_image,fwhm_ratio,spread_model,spreaderr_model,spread_snr,psf_fwhm_median,psf_spread_median,psf_star_count,reject_flag,reject_reason,source_chunk
tile_RA335.464_DECp30.715:1607,335.4800607712,30.558934109,tile_RA335.464_DECp30.715,1607,5.99465,2.07773,0.0157514,0.000960821,11.9754,2.88519,0.00424516,2630,1,fwhm_ratio=2.078>1.5;spread_snr=12.0>5.0,stage_S0.csv
tile_RA335.589_DECp78.781:1382,336.3544487118,78.4975424874,tile_RA335.589_DECp78.781,1382,3.10172,0.976312,0.0032517,0.000501757,-5.72569,3.17698,0.00612461,2745,0,,stage_S0.csv
tile_RA335.589_DECp78.781:1434,335.0428768128,78.4598639816,tile_RA335.589_DECp78.781,1434,3.73415,1.17538,0.00977281,0.000457435,7.97534,3.17698,0.00612461,2745,1,spread_snr=8.0>5.0,stage_S0.csv
tile_RA335.589_DECp78.781:4120,334.7620147433,79.2006937049,tile_RA335.589_DECp78.781,4120,4.46349,1.40495,0.0188918,0.000404129,31.5918,3.17698,0.00612461,2745,1,spread_snr=31.6>5.0,stage_S0.csv
tile_RA335.589_DECp78.781:4145,333.8497753807,79.069271875,tile_RA335.589_DECp78.781,4145,3.14208,0.989014,-0.00184284,0.00110813,-7.18999,3.17698,0.00612461,2745,0,,stage_S0.csv
tile_RA335.589_DECp78.781:5361,333.1776500879,78.8530807075,tile_RA335.589_DECp78.781,5361,3.22724,1.01582,0.00791215,0.000501794,3.5623,3.17698,0.00612461,2745,0,,stage_S0.csv
tile_RA335.589_DECp79.781:79,336.2710527042,79.303612066,tile_RA335.589_DECp79.781,79,2.41697,0.758846,0.00264492,0.000951483,-3.33504,3.18505,0.00581816,2520,0,,stage_S0.csv
tile_RA335.589_DECp79.781:2577,336.1447849605,79.6560895216,tile_RA335.589_DECp79.781,2577,4.0895,1.28396,0.00907893,0.00120935,2.69631,3.18505,0.00581816,2520,0,,stage_S0.csv
tile_RA335.589_DECp79.781:3267,333.5472370966,79.6699113284,tile_RA335.589_DECp79.781,3267,2.45366,0.770367,-0.00135914,0.000803248,-8.93534,3.18505,0.00581816,2520,0,,stage_S0.csv
tile_RA335.589_DECp79.781:3597,337.8563019213,79.8509549997,tile_RA335.589_DECp79.781,3597,5.28693,1.65992,0.0185346,0.00060199,21.1241,3.18505,0.00581816,2520,1,fwhm_ratio=1.660>1.5;spread_snr=21.1>5.0,stage_S0.csv
tile_RA335.589_DECp79.781:4786,334.114940103,79.9521012072,tile_RA335.589_DECp79.781,4786,6.39229,2.00696,0.026682,0.000369701,56.4345,3.18505,0.00581816,2520,1,fwhm_ratio=2.007>1.5;spread_snr=56.4>5.0,stage_S0.csv
tile_RA335.589_DECp79.781:5466,335.3698592749,79.8935851713,tile_RA335.589_DECp79.781,5466,2.80096,0.879407,-0.001837,0.000797981,-9.59315,3.18505,0.00581816,2520,0,,stage_S0.csv
tile_RA335.640_DECp18.742:1421,335.5590057363,18.554731746,tile_RA335.640_DECp18.742,1421,3.29052,1.17364,0.000316578,0.000838669,0.423139,2.80369,-3.82957e-05,1488,0,,stage_S0.csv
tile_RA335.640_DECp18.742:3667,335.3680660338,18.9075557058,tile_RA335.640_DECp18.742,3667,2.3994,0.855802,-0.00126572,0.00115356,-1.06403,2.80369,-3.82957e-05,1488,0,,stage_S0.csv
tile_RA335.640_DECp18.742:4053,335.9192595093,18.8278602141,tile_RA335.640_DECp18.742,4053,3.74867,1.33705,0.0120653,0.000941258,12.8589,2.80369,-3.82957e-05,1488,1,spread_snr=12.9>5.0,stage_S0.csv
tile_RA335.737_DECp12.743:857,335.5509384011,12.5073487755,tile_RA335.737_DECp12.743,857,3.98495,1.38926,0.00776283,0.000734577,8.64439,2.86839,0.00141286,1322,1,spread_snr=8.6>5.0,stage_S0.csv
tile_RA335.808_DECp6.743:857,335.8863305911,6.5710879159,tile_RA335.808_DECp6.743,857,2.40145,0.879748,-0.00174259,0.00082186,-7.5679,2.7297,0.00447716,1130,0,,stage_S0.csv
tile_RA335.808_DECp6.743:1843,335.6127894944,6.9710247119,tile_RA335.808_DECp6.743,1843,3.05054,1.11754,0.000890491,0.000943464,-3.8016,2.7297,0.00447716,1130,0,,stage_S0.csv
tile_RA335.808_DECp6.743:1950,335.6533629402,6.9225318783,tile_RA335.808_DECp6.743,1950,2.45353,0.898827,0.00174615,0.00109026,-2.50493,2.7297,0.00447716,1130,0,,stage_S0.csv
tile_RA335.855_DECp0.743:974,335.7002611764,0.5722692408,tile_RA335.855_DECp0.743,974,3.14526,1.12855,-0.000579643,0.00106761,-1.40655,2.78699,0.000922003,934,0,,stage_S0.csv
tile_RA335.855_DECp0.743:1100,335.6068486375,0.6214418839,tile_RA335.855_DECp0.743,1100,3.43065,1.23095,0.00592525,0.000386889,12.932,2.78699,0.000922003,934,1,spread_snr=12.9>5.0,stage_S0.csv
tile_RA335.855_DECp0.743:1534,336.1286266752,0.6917799855,tile_RA335.855_DECp0.743,1534,4.00821,1.43818,0.00214359,0.000379605,3.21805,2.78699,0.000922003,934,0,,stage_S0.csv
tile_RA335.855_DECp0.743:1819,335.7970151147,1.0590106262,tile_RA335.855_DECp0.743,1819,3.93592,1.41225,0.0110893,0.000563168,18.0537,2.78699,0.000922003,934,1,spread_snr=18.1>5.0,stage_S0.csv
tile_RA335.880_DECm5.257:273,335.5756325127,-5.6307433251,tile_RA335.880_DECm5.257,273,5.50973,1.98418,0.0132332,0.000453354,21.5974,2.77682,0.00344194,847,1,fwhm_ratio=1.984>1.5;spread_snr=21.6>5.0,stage_S0.csv
tile_RA335.880_DECm5.257:919,335.8445800829,-4.7878359445,tile_RA335.880_DECm5.257,919,3.67501,1.32346,0.0120087,0.000634002,13.5122,2.77682,0.00344194,847,1,spread_snr=13.5>5.0,stage_S0.csv
tile_RA335.880_DECm5.257:1137,336.0115173761,-4.8944680562,tile_RA335.880_DECm5.257,1137,2.89604,1.04293,0.00682734,0.000509711,6.64181,2.77682,0.00344194,847,1,spread_snr=6.6>5.0,stage_S0.csv
