src_id,tile_id,object_id,ra,dec,profile_diff,circularity,area,shape_defect,circle_deviation,shape_confidence,elongation,stars_used,rej_profile_diff,rej_elongation,rej_circularity,reject_flag,reject_reason,shape_failed,failure_reason,source_chunk
tile_RA235.116_DECp41.516:1737,tile_RA235.116_DECp41.516,1737,235.6936531505,41.6394398182,0.0353789,0.796495,9.5,0.0890625,0.234226,low,1.27138,2,0,1,1,1,elongation=1.271>1.1;circularity=0.796<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.116_DECp42.516:261,tile_RA235.116_DECp42.516,261,235.0139198168,42.1479813194,0.0147915,0.138204,8,0.732422,0.229798,low,1.17341,4,0,1,1,1,elongation=1.173>1.1;circularity=0.138<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.116_DECp42.516:1640,tile_RA235.116_DECp42.516,1640,235.3382765527,42.686411709,,0.564302,14,0.276042,0.231758,low,1.0174,0,0,0,1,1,circularity=0.564<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.480_DECp27.534:1403,tile_RA235.480_DECp27.534,1403,235.3688378579,27.4599619512,0.0836275,0.800106,14,0.205729,0.0337152,low,1.20247,3,1,1,0,1,profile_diff=0.0836>0.05;elongation=1.202>1.1,0,,stage_S0M_MORPH.csv
tile_RA235.480_DECp27.534:2001,tile_RA235.480_DECp27.534,2001,235.9533591378,27.6811252686,0.0218459,0.422917,23,0.554688,0.172087,low,1.06735,3,0,0,1,1,circularity=0.423<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.480_DECp27.534:2385,tile_RA235.480_DECp27.534,2385,235.8881886991,27.5106481118,0.0458495,0.898353,7.5,0.179688,0.081912,low,1.13359,2,0,1,0,1,elongation=1.134>1.1,0,,stage_S0M_MORPH.csv
tile_RA235.480_DECp28.534:197,tile_RA235.480_DECp28.534,197,235.6208299168,28.1113978633,0.014337,0.808518,12,0.0890625,0.11888,low,1.07961,3,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA235.480_DECp28.534:705,tile_RA235.480_DECp28.534,705,234.9899321206,28.3200552204,0.0194536,0.309276,21.5,0.533381,0.25269,low,1.27073,3,0,1,1,1,elongation=1.271>1.1;circularity=0.309<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.480_DECp29.534:563,tile_RA235.480_DECp29.534,563,235.3488234548,29.2509979127,,0.404259,12,0.459961,0.218744,low,1.17957,0,0,1,1,1,elongation=1.180>1.1;circularity=0.404<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.480_DECp29.534:1693,tile_RA235.480_DECp29.534,1693,235.4339142994,29.8341930185,0.0118759,0.832319,9,1.06274,0.206002,low,1.21871,1,0,1,0,1,elongation=1.219>1.1,0,,stage_S0M_MORPH.csv
tile_RA235.480_DECp29.534:1867,tile_RA235.480_DECp29.534,1867,235.5871051479,29.7650314497,0.0332758,0.808518,12,0.0890625,0.11888,low,1.08312,6,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA235.480_DECp30.534:1662,tile_RA235.480_DECp30.534,1662,235.3994920079,30.4424978431,0.0209896,0.836301,13.5,0.0890625,0.102504,low,1.13053,8,0,1,0,1,elongation=1.131>1.1,0,,stage_S0M_MORPH.csv
tile_RA235.480_DECp30.534:2372,tile_RA235.480_DECp30.534,2372,235.33839653,30.6591893139,0.0133209,0.105257,76,0.861914,0.229535,low,1.29944,1,0,1,1,1,elongation=1.299>1.1;circularity=0.105<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.480_DECp31.534:1639,tile_RA235.480_DECp31.534,1639,235.0925949743,31.4261389834,0.034086,0.746888,13.5,0.222656,0.134977,low,1.12924,5,0,1,1,1,elongation=1.129>1.1;circularity=0.747<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.567_DECp21.534:697,tile_RA235.567_DECp21.534,697,235.4242706505,21.3887641563,0.049062,0.0300146,43.5,0.404576,0.214642,low,1.22076,2,0,1,1,1,elongation=1.221>1.1;circularity=0.030<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.567_DECp21.534:1144,tile_RA235.567_DECp21.534,1144,235.3177896813,21.4512025352,0.0499128,0.0873805,31,1.38346,0.219624,low,1.28501,5,0,1,1,1,elongation=1.285>1.1;circularity=0.087<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.567_DECp23.534:1641,tile_RA235.567_DECp23.534,1641,235.8146111029,23.6318035168,0.0145143,0.388089,18,0.296007,0.263347,low,1.14776,4,0,1,1,1,elongation=1.148>1.1;circularity=0.388<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.646_DECp15.535:1493,tile_RA235.646_DECp15.535,1493,235.1999050907,15.4619730688,0.0211369,0.251808,333,0.571429,0.150064,high,1.29846,2,0,1,1,1,elongation=1.298>1.1;circularity=0.252<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.646_DECp15.535:1762,tile_RA235.646_DECp15.535,1762,235.3920086608,15.8332355822,0.0258524,0.698733,9.5,0.2,0.200068,low,1.29898,5,0,1,1,1,elongation=1.299>1.1;circularity=0.699<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.646_DECp16.535:183,tile_RA235.646_DECp16.535,183,235.7751215417,16.1157173029,0.0119475,0.857372,8,0.358631,0.120035,low,1.03104,4,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA235.646_DECp16.535:2290,tile_RA235.646_DECp16.535,2290,235.7233886936,16.5857843537,0.0190387,0.763595,10,0.0890625,0.187891,low,1.28662,6,0,1,1,1,elongation=1.287>1.1;circularity=0.764<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.646_DECp17.535:845,tile_RA235.646_DECp17.535,845,235.2286545514,17.3708137893,0.0100609,0.628812,7.5,0.215625,0.214442,low,1.13357,7,0,1,1,1,elongation=1.134>1.1;circularity=0.629<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.646_DECp18.535:841,tile_RA235.646_DECp18.535,841,235.7293199435,18.3432998354,0.023842,0.419208,10,0.323103,0.247208,low,1.29395,6,0,1,1,1,elongation=1.294>1.1;circularity=0.419<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.646_DECp18.535:961,tile_RA235.646_DECp18.535,961,235.1949480473,18.3879142167,0.025063,0.19184,25.5,0.569712,0.232315,low,1.23205,2,0,1,1,1,elongation=1.232>1.1;circularity=0.192<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.646_DECp19.535:525,tile_RA235.646_DECp19.535,525,235.8400863085,19.2402135428,0.0113579,0.497925,18,0.361816,0.238412,low,1.06099,2,0,0,1,1,circularity=0.498<0.8,0,,stage_S0M_MORPH.csv
tile_RA235.646_DECp19.535:1658,tile_RA235.646_DECp19.535,1658,235.8747194774,19.8164358053,0.0356215,0.832319,9,0.0890625,0.140237,low,1.06285,4,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA235.716_DECp59.496:743,tile_RA235.716_DECp59.496,743,236.4874111786,59.2763088855,0.0255304,0.898353,7.5,0.0890625,0.081912,low,1.13839,4,0,1,0,1,elongation=1.138>1.1,0,,stage_S0M_MORPH.csv
tile_RA235.716_DECp59.496:1623,tile_RA235.716_DECp59.496,1623,235.9462326214,59.7943439407,0.0331597,0.880337,10.5,1.06909,0.127754,low,1.17386,2,0,1,0,1,elongation=1.174>1.1,0,,stage_S0M_MORPH.csv
tile_RA235.716_DECp59.496:1687,tile_RA235.716_DECp59.496,1687,236.3598796557,59.7520650584,0.0101126,0.871465,8.5,0.391059,0.0935766,low,1.08435,7,0,0,0,0,,0,,stage_S0M_MORPH.csv
