tile_id,plate_id,run_id,rows_to_S0
tile_RA118.990_DECp0.551,XE543,R1,3
tile_RA118.990_DECp1.551,XE543,R1,2
tile_RA118.990_DECp2.551,XE543,R1,13
tile_RA118.990_DECp3.551,XE543,R1,3
tile_RA118.990_DECp4.551,XE543,R1,4
tile_RA119.171_DECp21.620,XE366,R1,3
tile_RA119.171_DECp22.620,XE366,R1,3
tile_RA119.171_DECp23.620,XE366,R1,4
tile_RA119.171_DECp24.620,XE366,R1,3
tile_RA119.265_DECp27.619,XE310,R1,3
tile_RA119.265_DECp28.619,XE310,R1,5
tile_RA119.265_DECp29.619,XE310,R1,2
tile_RA119.265_DECp30.619,XE310,R1,3
tile_RA119.795_DECp70.584,XE035,R1,2
tile_RA119.854_DECm0.415,XE604,R1,5
tile_RA119.917_DECp5.585,XE544,R1,1
tile_RA119.981_DECp17.584,XE424,R1,2
tile_RA119.991_DECp2.551,XE543,R1,3
tile_RA119.991_DECp3.551,XE543,R1,2
tile_RA12.011_DECp30.798,XE293,R1,3
tile_RA12.025_DECp47.796,XE150,R1,1
tile_RA12.025_DECp48.796,XE150,R1,1
tile_RA12.025_DECp49.796,XE150,R1,1
tile_RA12.191_DECp42.798,XE193,R1,1
tile_RA12.226_DECp78.807,XE012,R1,8
tile_RA12.226_DECp79.807,XE012,R1,2
tile_RA12.628_DECp30.806,XE294,R1,2
tile_RA12.772_DECp66.783,XE051,R1,1
tile_RA12.809_DECm10.233,XE706,R1,2
tile_RA12.809_DECm12.233,XE706,R1,3
tile_RA12.835_DECm4.213,XE646,R1,2
tile_RA12.835_DECm5.213,XE646,R1,4
tile_RA12.835_DECm6.213,XE646,R1,3
tile_RA12.858_DECm0.213,XE586,R1,1
tile_RA12.858_DECp0.787,XE586,R1,2
tile_RA12.861_DECp17.787,XE406,R1,2
tile_RA12.861_DECp19.787,XE406,R1,2
tile_RA12.871_DECp11.787,XE466,R1,4
tile_RA12.871_DECp12.787,XE466,R1,2
tile_RA12.871_DECp13.787,XE466,R1,2
tile_RA12.906_DECp73.766,XE029,R1,5
tile_RA120.077_DECp59.566,XE089,R1,3
tile_RA120.130_DECp35.594,XE257,R1,1
tile_RA120.130_DECp36.594,XE257,R1,1
tile_RA120.142_DECp48.593,XE163,R1,1
tile_RA120.170_DECp75.626,XE017,R1,3
tile_RA120.170_DECp76.626,XE017,R1,1
tile_RA120.170_DECp77.626,XE017,R1,2
tile_RA120.170_DECp78.626,XE017,R1,2
tile_RA120.170_DECp79.626,XE017,R1,4
tile_RA120.229_DECp53.653,XE123,R1,5
tile_RA120.263_DECp22.620,XE366,R1,1
tile_RA120.263_DECp23.620,XE366,R1,5
tile_RA120.263_DECp24.620,XE366,R1,2
tile_RA120.415_DECp28.619,XE310,R1,1
tile_RA120.415_DECp29.619,XE310,R1,3
tile_RA120.415_DECp30.619,XE310,R1,2
tile_RA120.433_DECp64.612,XE059,R1,7
tile_RA120.433_DECp65.612,XE059,R1,5
tile_RA120.433_DECp66.612,XE059,R1,6
tile_RA120.433_DECp67.612,XE059,R1,2
tile_RA120.775_DECm5.414,XE664,R1,2
tile_RA120.775_DECm7.414,XE664,R1,1
tile_RA120.854_DECm0.415,XE604,R1,1
tile_RA120.854_DECm1.415,XE604,R1,2
tile_RA120.854_DECp0.585,XE604,R1,6
tile_RA120.922_DECp4.585,XE544,R1,1
tile_RA120.922_DECp5.585,XE544,R1,2
tile_RA120.980_DECp10.584,XE484,R1,2
tile_RA120.980_DECp11.584,XE484,R1,2
tile_RA120.992_DECp2.551,XE543,R1,3
tile_RA121.015_DECp82.636,XE005,R1,1
tile_RA121.015_DECp84.636,XE005,R1,1
tile_RA121.015_DECp85.636,XE005,R1,1
tile_RA121.030_DECp16.584,XE424,R1,3
tile_RA121.030_DECp18.584,XE424,R1,1
tile_RA121.137_DECp40.581,XE208,R1,2
tile_RA121.137_DECp41.581,XE208,R1,1
tile_RA121.137_DECp42.581,XE208,R1,2
tile_RA121.354_DECp23.620,XE366,R1,1
tile_RA121.360_DECp33.594,XE257,R1,2
tile_RA121.360_DECp34.594,XE257,R1,1
tile_RA121.565_DECp29.619,XE310,R1,2
tile_RA121.625_DECp45.593,XE163,R1,1
tile_RA121.625_DECp48.593,XE163,R1,1
tile_RA121.625_DECp49.593,XE163,R1,2
tile_RA121.781_DECm4.414,XE664,R1,1
tile_RA121.781_DECm6.414,XE664,R1,1
tile_RA121.781_DECm8.414,XE664,R1,1
tile_RA121.854_DECm0.415,XE604,R1,4
tile_RA121.854_DECm2.415,XE604,R1,1
tile_RA121.854_DECp0.585,XE604,R1,3
tile_RA121.927_DECp5.585,XE544,R1,1
tile_RA121.927_DECp6.585,XE544,R1,1
tile_RA121.927_DECp7.585,XE544,R1,3
tile_RA122.001_DECp10.584,XE484,R1,1
tile_RA122.001_DECp11.584,XE484,R1,4
tile_RA122.001_DECp12.584,XE484,R1,3
